followed_uid	follower_uid	description	name	is_V	v_description	followers_count
5698414016	6249543451	股票咨询微信puti9525	股涨8888			83
5698414016	5143215633	微博人气作者 微博签约自媒体 首席证券分析师 私募团队操盘手 国际理财规划师	项东看股	1.0	企业人力资源管理师	8513
5698414016	5599056320	微信号：L88188H QQ:2096726982专业订制高端珠宝18K金饰品 一手好货源价格优势长期现货	18k金高端珠宝定制厂销			457
5698414016	2499247727	人生一半是现实，一半是梦想，去想去的地方趁阳光正好，趁微风不燥，趁繁花还未开至奢靡，趁我们还年轻，还可以走很长很长的路，，，	厨子戏子痞子91			104
5698414016	6243068278		懵懂的美女培训屋			139
5698414016	6383307977		红润耽恋_38840			133
5698414016	5696291631	vx:  zkl1005015130  随时欢迎咨询，长期招代理	Kellen珠宝			540
5698414016	3762823385	正宗宜兴紫砂壶 家族传承 添加微信号zp818821欣赏美壶尽在碧优天芷壶轩工作室	壶中漫步-168	1.0	??企业人力资源管理师	2014
5698414016	6418840866	猛犸工艺品交流V：YZ362835811	猛犸小叶			10
5698414016	6233953878		15和宝剑530			185
5698414016	1959582945	在乎够深的东西别人碰一下都觉得是抢	李威1220			46
5698414016	1111588834		LuYang1			109
5698414016	6045460638	愛古玩，上古美术……	古美术谢建文			1404
5698414016	5793213789		众筹吧	1.0	微博官方众筹服务	9754906
5698414016	2735970173	蟠龙工艺是全国纯银制品领跑品牌，公司生产的纯银摆件，酒具，茶具，餐具均为纯手工制作，银料为国标一号银（纯度99.998%）电话：15531531639微信同步	蟠龙工艺皇家细工之蟠龙文化刘杰			260
5698414016	6053470518	古美术文化传播有限公司	厦门古美术冰海天使			1151
5698414016	1740333234	微信：ZJ-53348821 走在生命路上，用爱丈量梦想，达摩流浪，雕刻时光。	苍天在上-ZJ			593
5698414016	6190809832		用户6190809832			3
5698414016	2350993880	从事紫砂壶创作，雕刻10年有余，加微信V: feitianxiaozhu2011	藏壶阁2011			99
5698414016	6000099374	不要脸这事，如果干得好，叫心理素质过硬	ZX077777			50
