follow_count	followers_count	is_V	uid	url	v_简介	年龄	微信号	性别	所在地	教育经历	昵称	标签	注册时间	简介	blog_dir	follower_dir
186	1809	0	1917197832	https://m.weibo.cn/u/1917197832				男	湖南 长沙		水煮豆先生			天黑不许愿，天亮不留念	uid_1917197832/blog.csv	uid_1917197832/followers.csv
18	42	0	5307022998	https://m.weibo.cn/u/5307022998				男	上海		小布泰国佛牌古曼代请			原庙供请古曼，佛牌，阴牌，可加微信了解，ziqiqiren322恭请	uid_5307022998/blog.csv	uid_5307022998/followers.csv
1029	779	0	2630204823	https://m.weibo.cn/u/2630204823				男	山东 青岛		肉球_magic			我.们.都.是.一.个.人.加.上.另.一.个.人.的.长.相	uid_2630204823/blog.csv	uid_2630204823/followers.csv
209	63	0	5995191066	https://m.weibo.cn/u/5995191066				女	陕西 西安		boiled-water-wyh			你是我的眉间心上 ❤	uid_5995191066/blog.csv	uid_5995191066/followers.csv
246	1511	1	2129457053	https://m.weibo.cn/u/2129457053	上海兰宫艺术品有限公司销售			女	浙江 杭州		清晨范			喜欢珠宝～～	uid_2129457053/blog.csv	uid_2129457053/followers.csv
768	1060	1	1672308093	https://m.weibo.cn/u/1672308093	  思埠集团  经销商			女	广东		baby湘雅			高姿，黛莱美，有意加v信：xiangya0508，扣扣517551576	uid_1672308093/blog.csv	uid_1672308093/followers.csv
390	329	0	1971559584	https://m.weibo.cn/u/1971559584				男	台湾		人生失意会员			CEO	uid_1971559584/blog.csv	uid_1971559584/followers.csv
176	44	0	5718880038	https://m.weibo.cn/u/5718880038				女	北京		善缘佛缘			古玩，佛像，玉器，玛瑙，珠子，青铜器，瓷器，各种文玩觅有缘人！！！微信号18811304077加我好友！！！	uid_5718880038/blog.csv	uid_5718880038/followers.csv
1048	154530	0	1498728367	https://m.weibo.cn/u/1498728367					北京 东城区		WOMEN_OF_CHINA			《中国妇女》英文月刊（WOMEN OF CHINA）创刊于1952年，由中华全国妇女联合会主管、主办，是面向世界发行的英文女性月刊。	uid_1498728367/blog.csv	uid_1498728367/followers.csv
168	590	1	2255283767	https://m.weibo.cn/u/2255283767	长沙市中心医院急诊科 医师			男	湖南 长沙		DocDerrick			行医路途，如临深渊，如履薄冰	uid_2255283767/blog.csv	uid_2255283767/followers.csv
395	328	0	1681823293	https://m.weibo.cn/u/1681823293				男	其他		乐Young心			电动车是大趋势	uid_1681823293/blog.csv	uid_1681823293/followers.csv
193	3203	0	5066264896	https://m.weibo.cn/u/5066264896					湖南 长沙		中南大学湘雅护理学院学生会			中南大学湘雅护理学院学生会官方新浪微博 中南大学湘雅护理学院官网：http://nursing.csu.edu.cn   微信公众号：CSU-XYHLXY 欢迎大家关注我们⊙▽⊙	uid_5066264896/blog.csv	uid_5066264896/followers.csv
152	179	0	1864433473	https://m.weibo.cn/u/1864433473				女	广东 广州		ToryBurch醉倾冬林			ToryBurch 原单品质，了解更多请咨询 V:xiangya00	uid_1864433473/blog.csv	uid_1864433473/followers.csv
481	6539	0	1936217541	https://m.weibo.cn/u/1936217541				女	内蒙古		喵星人or喵了个咪			Vx：yanshuhan	uid_1936217541/blog.csv	uid_1936217541/followers.csv
363	537	1	2851695305	https://m.weibo.cn/u/2851695305	柳州市妇幼保健院 护士			女	广西 贺州		坏米丽			总有些东西是冥冥中注定，就像我终究遇见你!	uid_2851695305/blog.csv	uid_2851695305/followers.csv
455	750	0	1961582795	https://m.weibo.cn/u/1961582795				女	湖南 长沙		Violet周小莹			Take your passion and make it come true.	uid_1961582795/blog.csv	uid_1961582795/followers.csv
180	320	0	1958894923	https://m.weibo.cn/u/1958894923				女	海外		A_lifes			Reserve.	uid_1958894923/blog.csv	uid_1958894923/followers.csv
365	712	0	2710937041	https://m.weibo.cn/u/2710937041				女	广东		辣辣要努力改变			那些你以为过不去的  都在岁月的长河里成为过去了	uid_2710937041/blog.csv	uid_2710937041/followers.csv
193	103807	1	1630311762	https://m.weibo.cn/u/1630311762	中国玉(石)器百花奖金奖得主,代表作《鸿福齐天》、《四季平安》			男	广东		万方玮			中华玉石雕刻工艺大师 中国青年玉雕艺术家 国家一级工艺美术师-一级/高级技师 海派玉雕大师 全工联 金银商会玉专委副主任，义工协会长，行遂居士	uid_1630311762/blog.csv	uid_1630311762/followers.csv
319	1479	0	2685560403	https://m.weibo.cn/u/2685560403				女	其他		废香香			我  心里一直有个梦  要去嵩山少林学武功	uid_2685560403/blog.csv	uid_2685560403/followers.csv
465	388	0	3762221394	https://m.weibo.cn/u/3762221394				男	湖南 长沙		Uncle·Dog			Surprise！ Motherfucker…	uid_3762221394/blog.csv	uid_3762221394/followers.csv
79	18	0	1053198171	https://m.weibo.cn/u/1053198171				女	湖南 长沙		rose94doris			小号，日常吐槽打卡	uid_1053198171/blog.csv	uid_1053198171/followers.csv
385	776	0	1899028451	https://m.weibo.cn/u/1899028451				男	北京 朝阳区		这般田地			朝九晚五，浪迹天涯。	uid_1899028451/blog.csv	uid_1899028451/followers.csv
54	21	0	6178810468	https://m.weibo.cn/u/6178810468				男	其他		竹马啊啊			Devil or angell，to guard the original dream！	uid_6178810468/blog.csv	uid_6178810468/followers.csv
909	84925	0	1905961317	https://m.weibo.cn/u/1905961317					湖南 长沙		中南大学湘雅医院			中南大学湘雅医院由中国和美国耶鲁大学雅礼协会联合创建于1906年。“南湘雅、北协和”之美名蜚声中外。	uid_1905961317/blog.csv	uid_1905961317/followers.csv
331	449	0	2584517604	https://m.weibo.cn/u/2584517604				女	湖南 长沙		Dr-House的瘸腿			女权主义	uid_2584517604/blog.csv	uid_2584517604/followers.csv
121	273	0	2609324903	https://m.weibo.cn/u/2609324903				女	湖南		迷糊大王李慧娴			与你说些无聊事🌟	uid_2609324903/blog.csv	uid_2609324903/followers.csv
513	1643		1849096171	https://m.weibo.cn/u/1849096171											uid_1849096171/blog.csv	uid_1849096171/followers.csv
216	169	0	2294968940	https://m.weibo.cn/u/2294968940				女	安徽 淮南		有猫人士张小怂			被研究生生活撸秃头的有猫人士，欧美圈墙头遍地，并且狗着巍澜不放手。	uid_2294968940/blog.csv	uid_2294968940/followers.csv
323	301	0	1868765810	https://m.weibo.cn/u/1868765810				男	四川 成都		LostPresent			暂无简介	uid_1868765810/blog.csv	uid_1868765810/followers.csv
418	1385	1	3170681463	https://m.weibo.cn/u/3170681463	利川清江外国语学校工艺美术教师			女	湖北		xiangya同学			戒指是圆的，所以没有终点，代表永恒。	uid_3170681463/blog.csv	uid_3170681463/followers.csv
69	27	0	3546959995	https://m.weibo.cn/u/3546959995				男	河北 沧州		念诵鬘			文玩爱好者，喜欢旅游	uid_3546959995/blog.csv	uid_3546959995/followers.csv
222	51	0	5138375037	https://m.weibo.cn/u/5138375037				女	湖南 长沙		山枫但是红黄色			To live as a monster or to die as a good man   明知从未相遇，却害怕未知的分离	uid_5138375037/blog.csv	uid_5138375037/followers.csv
105	56	0	5724866686	https://m.weibo.cn/u/5724866686				男	湖南 长沙		湘雅临五1508			暂无简介	uid_5724866686/blog.csv	uid_5724866686/followers.csv
368	61	0	3701366015	https://m.weibo.cn/u/3701366015				女	山西 临汾		叫个小梁子都不行			暂无简介	uid_3701366015/blog.csv	uid_3701366015/followers.csv
